RBP Num,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds),Seed,"DeepConvModel4(inputShape,classesNum,128,512,4) with SoftMax"
RBP1,0.200194886984509,172.675547361374,25.6777834892273,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP2,0.240958894506668,170.508962869644,25.022561788559,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP3,-0.0484418991004752,143.213230371475,24.6401267051697,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP4,0.114382199543811,150.574324846268,25.2598927021027,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP5,0.196849797177539,162.256430864334,24.3546559810638,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP6,0.163504938907101,300.40030002594,22.4151475429535,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP7,-0.0807185763420664,255.465442657471,25.8246901035309,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP8,0.0857264583203135,257.180887699127,25.6004414558411,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP9,0.0380003116148514,284.27746963501,23.6270081996918,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP10,0.0384508307276515,205.261342763901,21.8854842185974,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP11,-0.165757173712495,603.731539964676,23.6994123458862,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP12,0.0151417531890525,166.909717082977,21.3711535930634,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP13,0.336449707646936,238.001617431641,23.4484734535217,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP14,-0.00517051126075037,202.683204174042,21.5740678310394,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP15,0.091175217919227,311.854739904404,22.9781329631805,93015700,"('-', 'x', '-', 'x', '-', '+')"
RBP16,0.331711847884846,174.649959802628,24.1682314872742,93015700,"('-', 'x', '-', 'x', '-', '+')"
,,,,,
Average Pearson,0.09702866775042,,,,
