RBP,Pearson Correlation,Train Time (Seconds),Evalute Time (Seconds)
RBP 1,0.044849057002052654,237.2548849582672,24.106229066848755
RBP 2,0.17988517191944475,181.0770308971405,23.495276927947998
RBP 3,0.06752258095255577,203.12743759155273,20.741456508636475
RBP 4,0.04976618744769003,206.21205949783325,21.693434715270996
RBP 5,0.23349408492230728,308.5509397983551,23.854077339172363
RBP 6,0.27695480714457854,208.6838517189026,22.769111156463623
RBP 7,0.17846872744340483,193.62447428703308,24.85441780090332
RBP 8,0.10507800557490947,183.51101183891296,25.10539150238037
RBP 9,0.009303800962535037,166.00445246696472,24.520106077194214
RBP 10,0.04686776948178408,155.50842595100403,23.860278606414795
RBP 11,0.1263173708265608,611.8390376567841,23.963886260986328
RBP 12,0.3451894977682542,142.99834156036377,22.232832670211792
RBP 13,0.3949788978606479,249.9147744178772,22.36645007133484
RBP 14,0.06413995609023651,323.94643998146057,23.09168815612793
RBP 15,0.033320325253514534,200.94442319869995,23.54459261894226
RBP 16,0.3253452257740876,199.0293185710907,22.233497142791748
Average,0.15509259165153524,(DeepConvModel4), (- sum(predict_output[:num_outputs // 2]) + sum(predict_output[num_outputs // 2 + 1:]))
